Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jul 1, 2025 12:00 AM;Jul 1, 2025 1:00 AM;45,529.14;45,580.39;51.25;32,027.85
Jul 1, 2025 1:00 AM;Jul 1, 2025 2:00 AM;44,302.39;44,499.14;196.75;30,232.47
Jul 1, 2025 2:00 AM;Jul 1, 2025 3:00 AM;43,104.11;43,398.11;294.00;28,744.47
Jul 1, 2025 3:00 AM;Jul 1, 2025 4:00 AM;43,521.80;44,552.80;1,031.00;29,173.24
Jul 1, 2025 4:00 AM;Jul 1, 2025 5:00 AM;44,568.28;45,271.53;703.25;30,306.05
Jul 1, 2025 5:00 AM;Jul 1, 2025 6:00 AM;46,883.02;47,289.02;406.00;32,979.15
Jul 1, 2025 6:00 AM;Jul 1, 2025 7:00 AM;53,307.03;53,333.03;26.00;37,701.31
Jul 1, 2025 7:00 AM;Jul 1, 2025 8:00 AM;58,055.62;58,114.12;58.50;38,568.99
Jul 1, 2025 8:00 AM;Jul 1, 2025 9:00 AM;60,734.72;61,115.72;381.00;33,936.70
Jul 1, 2025 9:00 AM;Jul 1, 2025 10:00 AM;60,845.43;62,288.18;1,442.75;25,272.42
Jul 1, 2025 10:00 AM;Jul 1, 2025 11:00 AM;59,696.40;62,875.65;3,179.25;17,634.01
Jul 1, 2025 11:00 AM;Jul 1, 2025 12:00 PM;60,168.41;64,095.16;3,926.75;13,589.58
Jul 1, 2025 12:00 PM;Jul 1, 2025 1:00 PM;59,404.80;63,158.05;3,753.25;10,804.86
Jul 1, 2025 1:00 PM;Jul 1, 2025 2:00 PM;58,718.47;62,969.72;4,251.25;10,605.98
Jul 1, 2025 2:00 PM;Jul 1, 2025 3:00 PM;58,321.69;61,084.44;2,762.75;12,606.49
Jul 1, 2025 3:00 PM;Jul 1, 2025 4:00 PM;57,774.84;60,605.34;2,830.50;16,250.10
Jul 1, 2025 4:00 PM;Jul 1, 2025 5:00 PM;58,570.31;61,056.56;2,486.25;21,823.07
Jul 1, 2025 5:00 PM;Jul 1, 2025 6:00 PM;59,257.97;61,135.22;1,877.25;29,748.30
Jul 1, 2025 6:00 PM;Jul 1, 2025 7:00 PM;58,853.91;59,298.91;445.00;39,281.45
Jul 1, 2025 7:00 PM;Jul 1, 2025 8:00 PM;58,660.93;58,688.68;27.75;48,335.46
Jul 1, 2025 8:00 PM;Jul 1, 2025 9:00 PM;57,554.15;57,559.15;5.00;52,302.22
Jul 1, 2025 9:00 PM;Jul 1, 2025 10:00 PM;55,244.37;55,244.87;0.50;50,567.68
Jul 1, 2025 10:00 PM;Jul 1, 2025 11:00 PM;53,706.58;53,758.58;52.00;47,019.20
Jul 1, 2025 11:00 PM;Jul 2, 2025 12:00 AM;50,219.16;50,357.91;138.75;40,319.42
Jul 2, 2025 12:00 AM;Jul 2, 2025 1:00 AM;47,340.12;47,399.62;59.50;34,985.23
Jul 2, 2025 1:00 AM;Jul 2, 2025 2:00 AM;45,846.88;45,933.38;86.50;32,194.57
Jul 2, 2025 2:00 AM;Jul 2, 2025 3:00 AM;45,030.19;45,265.69;235.50;31,239.19
Jul 2, 2025 3:00 AM;Jul 2, 2025 4:00 AM;44,785.41;44,967.16;181.75;31,346.98
Jul 2, 2025 4:00 AM;Jul 2, 2025 5:00 AM;45,091.89;45,376.39;284.50;32,111.74
Jul 2, 2025 5:00 AM;Jul 2, 2025 6:00 AM;48,002.53;48,361.53;359.00;34,430.07
Jul 2, 2025 6:00 AM;Jul 2, 2025 7:00 AM;54,795.00;54,944.25;149.25;39,011.82
Jul 2, 2025 7:00 AM;Jul 2, 2025 8:00 AM;59,837.23;59,866.98;29.75;39,138.37
Jul 2, 2025 8:00 AM;Jul 2, 2025 9:00 AM;61,982.21;62,182.96;200.75;34,866.03
Jul 2, 2025 9:00 AM;Jul 2, 2025 10:00 AM;61,253.36;61,950.36;697.00;27,120.10
Jul 2, 2025 10:00 AM;Jul 2, 2025 11:00 AM;61,711.42;64,089.92;2,378.50;19,695.38
Jul 2, 2025 11:00 AM;Jul 2, 2025 12:00 PM;60,638.63;64,422.88;3,784.25;13,902.95
Jul 2, 2025 12:00 PM;Jul 2, 2025 1:00 PM;59,965.32;64,167.82;4,202.50;11,673.39
Jul 2, 2025 1:00 PM;Jul 2, 2025 2:00 PM;59,802.90;64,460.65;4,657.75;11,265.37
Jul 2, 2025 2:00 PM;Jul 2, 2025 3:00 PM;58,435.45;62,493.95;4,058.50;12,243.35
Jul 2, 2025 3:00 PM;Jul 2, 2025 4:00 PM;58,722.67;61,619.17;2,896.50;16,788.94
Jul 2, 2025 4:00 PM;Jul 2, 2025 5:00 PM;59,095.13;62,626.63;3,531.50;21,901.61
Jul 2, 2025 5:00 PM;Jul 2, 2025 6:00 PM;60,066.95;61,066.70;999.75;28,333.31
Jul 2, 2025 6:00 PM;Jul 2, 2025 7:00 PM;59,354.16;59,470.41;116.25;34,116.61
Jul 2, 2025 7:00 PM;Jul 2, 2025 8:00 PM;58,826.54;58,832.79;6.25;38,728.13
Jul 2, 2025 8:00 PM;Jul 2, 2025 9:00 PM;58,948.80;59,029.55;80.75;40,494.77
Jul 2, 2025 9:00 PM;Jul 2, 2025 10:00 PM;57,916.90;58,206.40;289.50;41,248.39
Jul 2, 2025 10:00 PM;Jul 2, 2025 11:00 PM;55,286.53;55,303.78;17.25;37,630.68
Jul 2, 2025 11:00 PM;Jul 3, 2025 12:00 AM;52,037.00;52,080.75;43.75;31,739.54
Jul 3, 2025 12:00 AM;Jul 3, 2025 1:00 AM;48,936.96;49,036.21;99.25;26,485.11
Jul 3, 2025 1:00 AM;Jul 3, 2025 2:00 AM;47,097.39;47,135.89;38.50;23,961.13
Jul 3, 2025 2:00 AM;Jul 3, 2025 3:00 AM;44,983.65;45,091.90;108.25;25,209.63
Jul 3, 2025 3:00 AM;Jul 3, 2025 4:00 AM;43,869.11;44,103.11;234.00;24,845.13
Jul 3, 2025 4:00 AM;Jul 3, 2025 5:00 AM;44,900.70;45,402.45;501.75;25,845.36
Jul 3, 2025 5:00 AM;Jul 3, 2025 6:00 AM;48,820.28;49,493.53;673.25;26,867.96
Jul 3, 2025 6:00 AM;Jul 3, 2025 7:00 AM;56,070.83;56,220.08;149.25;31,593.83
Jul 3, 2025 7:00 AM;Jul 3, 2025 8:00 AM;59,821.08;59,830.08;9.00;32,191.94
Jul 3, 2025 8:00 AM;Jul 3, 2025 9:00 AM;62,759.40;63,289.65;530.25;29,127.02
