Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jul 1, 2025 12:00 AM;Jul 1, 2025 1:00 AM;3,906.61;1,625.69;2,337.41;11,106.90;56.98;75.66;-;9,044.00;4,497.50;7,977.25;481.00;1,266.25
Jul 1, 2025 1:00 AM;Jul 1, 2025 2:00 AM;3,762.23;1,501.19;2,545.53;11,471.38;53.01;76.15;-;7,992.50;4,572.25;7,382.00;290.00;1,249.75
Jul 1, 2025 2:00 AM;Jul 1, 2025 3:00 AM;3,696.88;1,638.35;2,782.50;11,524.61;52.53;75.52;-;8,013.50;4,394.50;7,257.00;235.25;1,316.50
Jul 1, 2025 3:00 AM;Jul 1, 2025 4:00 AM;3,671.44;1,602.46;3,181.85;11,114.18;52.52;76.48;-;8,031.50;3,729.25;6,966.50;484.75;1,391.50
Jul 1, 2025 4:00 AM;Jul 1, 2025 5:00 AM;3,730.06;1,506.19;3,381.02;10,822.79;58.42;77.69;-;8,025.25;3,633.25;7,338.50;429.75;1,362.25
Jul 1, 2025 5:00 AM;Jul 1, 2025 6:00 AM;3,846.44;1,489.29;3,039.67;10,242.20;621.99;77.79;-;8,491.75;3,802.25;7,768.00;323.50;1,344.25
Jul 1, 2025 6:00 AM;Jul 1, 2025 7:00 AM;4,110.22;1,681.75;2,790.79;8,851.47;3,963.46;77.86;-;8,717.50;4,079.75;7,958.00;775.00;1,239.50
Jul 1, 2025 7:00 AM;Jul 1, 2025 8:00 AM;4,146.16;1,947.98;1,915.07;5,710.07;11,861.50;78.78;-;8,821.75;4,277.00;8,226.00;1,010.75;1,201.50
Jul 1, 2025 8:00 AM;Jul 1, 2025 9:00 AM;3,928.50;1,773.16;1,398.92;2,145.88;23,253.22;77.17;-;8,778.50;4,119.50;7,832.50;685.25;1,178.25
Jul 1, 2025 9:00 AM;Jul 1, 2025 10:00 AM;3,668.65;1,627.76;990.65;918.24;33,664.12;76.17;-;7,961.50;3,445.00;4,708.75;65.75;1,195.00
Jul 1, 2025 10:00 AM;Jul 1, 2025 11:00 AM;3,493.00;1,504.62;576.83;685.50;40,800.06;77.28;-;7,099.25;2,576.25;3,765.00;48.00;1,404.75
Jul 1, 2025 11:00 AM;Jul 1, 2025 12:00 PM;3,415.13;1,490.65;235.89;709.14;45,633.79;74.18;-;6,467.75;2,469.50;3,082.00;14.75;1,399.25
Jul 1, 2025 12:00 PM;Jul 1, 2025 1:00 PM;3,336.84;1,492.60;115.07;608.76;47,876.11;72.61;-;6,470.75;2,298.25;2,923.00;33.25;1,392.50
Jul 1, 2025 1:00 PM;Jul 1, 2025 2:00 PM;3,288.60;1,490.14;60.98;563.30;47,488.20;69.91;-;6,864.75;2,209.00;3,095.75;59.50;1,392.75
Jul 1, 2025 2:00 PM;Jul 1, 2025 3:00 PM;3,304.27;1,613.18;119.65;519.37;45,076.18;72.31;-;6,960.50;2,620.25;3,093.50;55.00;1,378.25
Jul 1, 2025 3:00 PM;Jul 1, 2025 4:00 PM;3,298.26;1,538.23;99.85;529.59;40,895.30;68.10;-;6,987.00;2,705.00;3,145.50;132.75;1,272.50
Jul 1, 2025 4:00 PM;Jul 1, 2025 5:00 PM;3,368.32;1,590.08;229.91;602.32;35,915.02;61.94;-;7,917.75;3,001.75;3,810.25;114.75;1,441.25
Jul 1, 2025 5:00 PM;Jul 1, 2025 6:00 PM;3,515.71;1,756.29;490.76;861.31;28,157.60;67.72;-;9,176.50;3,388.25;6,090.25;136.00;1,546.00
