Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Apr 1, 2025 12:00 AM;Apr 1, 2025 1:00 AM;46,679.62;47,257.37;577.75;39,178.12
Apr 1, 2025 1:00 AM;Apr 1, 2025 2:00 AM;44,634.29;45,270.04;635.75;37,517.29
Apr 1, 2025 2:00 AM;Apr 1, 2025 3:00 AM;43,877.27;45,003.02;1,125.75;37,002.77
Apr 1, 2025 3:00 AM;Apr 1, 2025 4:00 AM;44,109.89;45,021.39;911.50;37,156.14
Apr 1, 2025 4:00 AM;Apr 1, 2025 5:00 AM;45,956.42;46,673.92;717.50;38,392.92
Apr 1, 2025 5:00 AM;Apr 1, 2025 6:00 AM;50,106.29;50,570.54;464.25;41,657.79
Apr 1, 2025 6:00 AM;Apr 1, 2025 7:00 AM;57,448.06;57,483.31;35.25;48,127.06
Apr 1, 2025 7:00 AM;Apr 1, 2025 8:00 AM;62,027.61;62,027.61;0.00;50,543.11
Apr 1, 2025 8:00 AM;Apr 1, 2025 9:00 AM;64,315.76;64,404.51;88.75;46,973.26
Apr 1, 2025 9:00 AM;Apr 1, 2025 10:00 AM;64,567.85;64,696.85;129.00;39,434.85
Apr 1, 2025 10:00 AM;Apr 1, 2025 11:00 AM;63,056.41;64,393.16;1,336.75;27,791.66
Apr 1, 2025 11:00 AM;Apr 1, 2025 12:00 PM;63,482.93;67,226.18;3,743.25;20,562.18
Apr 1, 2025 12:00 PM;Apr 1, 2025 1:00 PM;62,051.90;66,051.90;4,000.00;15,775.65
Apr 1, 2025 1:00 PM;Apr 1, 2025 2:00 PM;61,117.77;64,921.77;3,804.00;13,755.02
Apr 1, 2025 2:00 PM;Apr 1, 2025 3:00 PM;59,344.89;64,090.89;4,746.00;12,540.89
Apr 1, 2025 3:00 PM;Apr 1, 2025 4:00 PM;57,611.95;62,398.20;4,786.25;13,374.20
Apr 1, 2025 4:00 PM;Apr 1, 2025 5:00 PM;56,541.84;61,214.34;4,672.50;16,617.09
Apr 1, 2025 5:00 PM;Apr 1, 2025 6:00 PM;57,235.70;59,235.45;1,999.75;23,955.95
Apr 1, 2025 6:00 PM;Apr 1, 2025 7:00 PM;59,619.09;60,120.09;501.00;36,061.59
Apr 1, 2025 7:00 PM;Apr 1, 2025 8:00 PM;60,108.11;60,135.61;27.50;42,111.86
Apr 1, 2025 8:00 PM;Apr 1, 2025 9:00 PM;59,789.99;59,809.74;19.75;39,957.49
Apr 1, 2025 9:00 PM;Apr 1, 2025 10:00 PM;57,215.83;57,410.08;194.25;33,795.08
Apr 1, 2025 10:00 PM;Apr 1, 2025 11:00 PM;53,173.72;53,493.47;319.75;28,431.22
Apr 1, 2025 11:00 PM;Apr 2, 2025 12:00 AM;48,826.14;49,772.89;946.75;23,585.39
Apr 2, 2025 12:00 AM;Apr 2, 2025 1:00 AM;45,719.23;47,144.48;1,425.25;21,226.23
Apr 2, 2025 1:00 AM;Apr 2, 2025 2:00 AM;43,933.26;45,786.76;1,853.50;20,921.26
Apr 2, 2025 2:00 AM;Apr 2, 2025 3:00 AM;43,296.02;45,768.77;2,472.75;21,340.02
Apr 2, 2025 3:00 AM;Apr 2, 2025 4:00 AM;43,676.21;45,198.21;1,522.00;22,164.96
Apr 2, 2025 4:00 AM;Apr 2, 2025 5:00 AM;44,898.06;45,547.81;649.75;23,807.81
Apr 2, 2025 5:00 AM;Apr 2, 2025 6:00 AM;48,993.28;49,143.28;150.00;28,181.53
Apr 2, 2025 6:00 AM;Apr 2, 2025 7:00 AM;56,320.88;56,343.88;23.00;35,089.13
Apr 2, 2025 7:00 AM;Apr 2, 2025 8:00 AM;60,837.73;60,837.73;0.00;38,180.48
Apr 2, 2025 8:00 AM;Apr 2, 2025 9:00 AM;63,137.95;63,138.45;0.50;35,263.95
Apr 2, 2025 9:00 AM;Apr 2, 2025 10:00 AM;63,273.36;64,126.36;853.00;26,998.86
Apr 2, 2025 10:00 AM;Apr 2, 2025 11:00 AM;61,521.87;65,006.87;3,485.00;15,646.37
Apr 2, 2025 11:00 AM;Apr 2, 2025 12:00 PM;60,808.92;65,667.42;4,858.50;8,772.17
Apr 2, 2025 12:00 PM;Apr 2, 2025 1:00 PM;59,657.58;64,329.83;4,672.25;7,755.08
Apr 2, 2025 1:00 PM;Apr 2, 2025 2:00 PM;58,486.24;63,226.74;4,740.50;6,949.49
Apr 2, 2025 2:00 PM;Apr 2, 2025 3:00 PM;56,692.79;62,160.04;5,467.25;3,606.04
