Date,Solar,Wind_Offshore,Wind_Onshore,Biomass,Hydro,Other_Renewable,Lignite,Hard_Coal,Gas,Pumped_Storage,Other_Conventional,Grid_Load,Residual_Load,Total_Wind,Total_Renewable,Total_Fossil,Total_Generation,Renewable_Share_Pct
2025-01-01 00:00:00,9.5,2395.5,33520.0,3763.0,1380.0,131.0,3739.25,2719.0,4327.5,144.25,1871.0,29.36,42726.25,35915.5,41199.0,12656.75,54000.0,76.29444444444444
2025-01-01 01:00:00,9.0,2614.0,33767.0,3737.0,1343.75,131.0,3265.0,2717.0,4217.75,1.0,1837.25,25.86,43215.0,36381.0,41601.75,12037.0,53639.75,77.55768809511603
2025-01-01 02:00:00,9.25,1684.25,32876.25,3739.5,1316.25,127.75,3226.5,2639.0,4279.5,97.0,1789.0,22.1,42684.5,34560.5,39753.25,11934.0,51784.25,76.76706720672792
2025-01-01 03:00:00,9.0,1327.75,33113.75,3714.5,1321.5,127.5,3237.5,2583.25,4335.0,3.25,1770.25,20.38,42895.25,34441.5,39614.0,11926.0,51543.25,76.85584436371397
2025-01-01 04:00:00,9.25,1163.25,33570.75,3715.75,1298.25,129.75,3223.75,2403.25,4464.0,0.0,1766.0,21.71,43265.75,34734.0,39887.0,11857.0,51744.0,77.08526592455163
2025-01-01 05:00:00,10.5,1037.0,35440.25,3751.5,1350.5,129.5,3237.0,2268.25,4477.75,16.75,1763.0,21.88,44463.75,36477.25,41719.25,11746.0,53482.0,78.0061516024083
2025-01-01 06:00:00,12.5,1310.0,36089.75,3783.0,1454.0,129.25,3251.25,1987.75,4427.0,95.0,1761.0,20.22,44401.5,37399.75,42778.5,11427.0,54300.5,78.78104253183672
2025-01-01 07:00:00,723.5,2419.0,35661.5,3886.75,1411.25,128.75,3241.25,1860.0,4080.75,56.75,1748.5,21.24,45185.25,38080.5,44230.75,10930.5,55218.0,80.10205005614111
2025-01-01 08:00:00,4051.75,2093.75,34597.25,3895.25,1446.5,128.25,3238.5,1828.25,4009.75,40.5,1757.75,20.66,49270.0,36691.0,46212.75,10834.25,57087.5,80.95073352310051
2025-01-01 09:00:00,7913.0,2116.25,36147.0,3822.0,1431.5,126.75,3273.25,1844.25,3988.0,26.5,1791.5,19.99,53784.75,38263.25,51556.5,10897.0,62480.0,82.51680537772087
2025-01-01 10:00:00,11146.75,1851.0,35918.25,3830.0,1437.25,124.75,3265.5,1849.75,3969.5,54.25,1829.0,21.98,57238.75,37769.25,54308.0,10913.75,65276.0,83.19749984680433
2025-01-01 11:00:00,12110.5,2145.0,36641.25,3772.5,1487.5,119.25,3283.5,1848.75,3646.25,53.75,1826.25,25.67,58695.5,38786.25,56276.0,10604.75,66934.5,84.076223771
2025-01-01 12:00:00,10659.25,2689.75,37617.0,3755.25,1489.25,115.25,3242.0,1849.5,3623.0,140.25,1814.75,30.38,57990.75,40306.75,56325.75,10529.25,66995.25,84.07424406954225
2025-01-01 13:00:00,7043.0,3463.5,38592.0,3762.0,1438.5,124.5,3291.5,1836.0,3614.0,88.0,1772.75,30.17,55186.25,42055.5,54423.5,10514.25,65025.75,83.69530532135346
2025-01-01 14:00:00,2772.75,4613.0,41261.75,3806.25,1425.75,125.75,3348.5,1833.75,3590.5,97.0,1796.5,38.76,51914.75,45874.75,54005.25,10569.25,64671.5,83.50703169093032
2025-01-01 15:00:00,192.75,4720.5,41900.0,3971.0,1461.0,128.0,3395.75,1934.25,3642.5,432.25,1860.25,46.95,49271.5,46620.5,52373.25,10832.75,63638.25,82.29838186939459
2025-01-01 16:00:00,19.25,4809.75,43761.75,4099.25,1434.0,128.0,3337.25,2326.5,3691.25,393.25,1849.75,56.85,50033.5,48571.5,54252.0,11204.75,65850.0,82.3872437357631
2025-01-01 17:00:00,14.5,3803.25,44199.75,4131.5,1359.75,128.0,3289.25,2667.75,3698.5,516.0,1810.5,59.59,50155.0,48003.0,53636.75,11466.0,65618.75,81.73997523573674
2025-01-01 18:00:00,12.25,3496.75,43338.5,4113.5,1428.5,128.0,3308.75,2778.25,3732.0,448.75,1801.75,58.46,49576.25,46835.25,52517.5,11620.75,64587.0,81.3128028860297
2025-01-01 19:00:00,12.5,3979.25,42674.5,4036.25,1350.0,127.0,3209.5,2897.75,3586.0,404.25,1787.25,53.54,48564.25,46653.75,52179.5,11480.5,64064.25,81.44870188911912
2025-01-01 20:00:00,11.25,3979.5,41421.25,3975.5,1355.5,127.75,3195.25,3005.0,3563.5,556.25,1798.5,43.57,47010.0,45400.75,50870.75,11562.25,62989.25,80.76100286953725
2025-01-01 21:00:00,10.0,3853.5,39663.25,3930.0,1351.5,128.25,3192.0,3089.75,3531.0,560.75,1770.0,43.35,44461.0,43516.75,48936.5,11582.75,61080.0,80.11869679109364
2025-01-01 22:00:00,9.75,4115.0,39612.25,3832.75,1347.75,128.75,3186.25,3115.0,3526.75,487.5,1791.25,37.92,42779.0,43727.25,49046.25,11619.25,61153.0,80.20252481480877
2025-01-01 23:00:00,8.5,4033.0,37737.5,3726.5,1400.25,129.25,3441.0,3228.25,3563.5,693.0,1794.25,44.78,44774.75,41770.5,47035.0,12027.0,59755.0,78.71307840348088
2025-01-02 00:00:00,6.5,4753.75,36230.75,3723.5,1349.5,129.75,3844.0,2909.75,3346.5,451.0,1756.75,48.3,43066.0,40984.5,46193.75,11857.0,58501.75,78.9613131231117
2025-01-02 01:00:00,6.0,5264.75,34086.0,3727.25,1349.5,129.0,3941.25,2460.5,3390.75,411.25,1772.0,47.65,41369.0,39350.75,44562.5,11564.5,56538.25,78.81832210936844
2025-01-02 02:00:00,6.5,5593.75,32543.75,3731.75,1357.75,127.75,3999.5,2299.75,3488.75,423.25,1764.0,44.8,39124.0,38137.5,43361.25,11552.0,55336.5,78.3592204060611
2025-01-02 03:00:00,6.0,4933.75,30886.25,3762.75,1409.0,126.25,4464.75,2505.75,4083.5,148.0,1769.5,43.46,36766.5,35820.0,41124.0,12823.5,54095.5,76.02111081328391
2025-01-02 04:00:00,6.0,4567.5,29820.0,3818.0,1383.25,124.75,4668.75,2840.25,5120.25,178.75,1788.5,54.2,34316.5,34387.5,39719.5,14417.75,54316.0,73.1267029972752
2025-01-02 05:00:00,6.25,5589.25,28246.0,3901.0,1387.25,125.0,6380.25,3102.25,6210.0,203.5,1790.25,80.4,32047.25,33835.25,39254.75,17482.75,56941.0,68.93934072109728
2025-01-02 06:00:00,8.25,5867.0,25102.25,4078.25,1400.75,124.0,7933.75,3788.0,7606.0,305.0,1857.25,112.16,29465.5,30969.25,36580.5,21185.0,58070.5,62.99325819478048
2025-01-02 07:00:00,191.5,5753.25,22035.5,4267.75,1410.25,121.0,8889.0,4685.75,8599.75,1036.5,1869.75,130.08,27445.0,27788.75,33779.25,24044.25,58860.0,57.38914373088685
2025-01-02 08:00:00,1609.0,5976.25,18455.5,4317.5,1374.75,120.0,9359.5,4939.5,9233.5,934.5,1802.0,132.54,26886.5,24431.75,31853.0,25334.5,58122.0,54.80368879253983
2025-01-02 09:00:00,4077.75,5100.75,15182.0,4267.5,1407.0,122.0,9508.5,5127.25,10122.25,1126.75,1780.5,127.09,27068.5,20282.75,30157.0,26538.5,57822.25,52.15466364591486
