Date,Biomass,Hydro,Wind_Offshore,Wind_Onshore,Solar,Other_Renewable,Nuclear,Lignite,Hard_Coal,Gas,Pumped_Storage,Other_Conventional,Total_Wind,Total_Renewable,Total_Fossil,Total_Generation,Renewable_Share_Pct,Grid_Load,Grid_Load_incl_Pumped,Pumped_Demand,Residual_Load,Coverage_Pct,Hour,Month,day
2025-04-01 00:00:00,3853.75,1295.0,818.75,6676.5,6.25,118.25,0,11622.0,5739.25,7785.0,314.25,1851.25,7495.25,12768.5,26997.5,40080.25,31.857336219210207,46679.62,47257.37,577.75,39178.12,85.86241704623987,0,April,2025-04-01
2025-04-01 01:00:00,3797.75,1285.0,794.5,6316.5,6.0,117.75,0,11580.75,5341.75,7361.25,159.75,1869.5,7111.0,12317.5,26153.25,38630.5,31.885427317792935,44634.29,45270.04,635.75,37517.29,86.54892908568725,1,April,2025-04-01
2025-04-01 02:00:00,3759.5,1282.25,735.25,6133.25,6.0,118.0,0,11404.5,5382.5,7266.25,66.5,1878.5,6868.5,12034.25,25931.75,38032.5,31.642016696246632,43877.27,45003.02,1125.75,37002.77,86.67927608075891,2,April,2025-04-01
2025-04-01 03:00:00,3767.75,1284.0,704.75,6243.0,6.0,117.75,0,11389.25,5389.25,7255.5,65.25,1881.75,6947.75,12123.25,25915.75,38104.25,31.81600477637009,44109.89,45021.39,911.5,37156.14,86.38482208865177,3,April,2025-04-01
2025-04-01 04:00:00,3845.5,1285.0,746.5,6811.0,6.0,117.25,0,11433.75,5377.25,7351.5,128.5,1893.75,7557.5,12811.25,26056.25,38996.0,32.852728484972815,45956.42,46673.92,717.5,38392.92,84.85430327253516,4,April,2025-04-01
2025-04-01 05:00:00,4003.25,1292.5,810.0,7631.25,7.25,116.5,0,11617.0,5960.0,7922.0,459.75,1860.0,8441.25,13860.75,27359.0,41679.5,33.255557288355185,50106.29,50570.54,464.25,41657.79,83.18217134016508,5,April,2025-04-01
2025-04-01 06:00:00,4284.0,1377.25,809.25,8482.5,29.25,114.0,0,11839.5,6196.5,8894.75,3383.75,1850.0,9291.75,15096.25,28780.75,47260.75,31.942468115719702,57448.06,57483.31,35.25,48127.06,82.26692076285953,6,April,2025-04-01
2025-04-01 07:00:00,4454.0,1379.25,732.5,9061.5,1690.5,114.0,0,11927.25,6228.75,9021.0,5181.25,1870.5,9794.0,17431.75,29047.5,51660.5,33.74289834593161,62027.61,62027.61,0.0,50543.11,83.28629782769318,7,April,2025-04-01
2025-04-01 08:00:00,4410.0,1435.75,665.25,8372.75,8304.5,114.0,0,11860.5,6221.5,9024.0,3580.75,1824.5,9038.0,23302.25,28930.5,55813.5,41.75020380373924,64315.76,64404.51,88.75,46973.26,86.78044075044747,8,April,2025-04-01
2025-04-01 09:00:00,4156.75,1431.75,600.0,6339.25,18193.75,113.75,0,11730.0,5663.25,7240.75,1463.75,1820.75,6939.25,30835.25,26454.75,58753.75,52.48218198838372,64567.85,64696.85,129.0,39434.85,90.99536379173226,9,April,2025-04-01
2025-04-01 10:00:00,3793.75,1436.0,536.5,7506.75,27221.5,109.5,0,10525.0,3743.75,4560.0,412.0,1748.0,8043.25,40604.0,20576.75,61592.75,65.92334325062609,63056.41,64393.16,1336.75,27791.66,97.67880854618903,10,April,2025-04-01
2025-04-01 11:00:00,3621.0,1512.75,405.5,9756.0,32759.25,110.25,0,6898.0,2226.25,3569.25,119.25,1721.5,10161.5,48164.75,14415.0,62699.0,76.81900827764399,63482.93,67226.18,3743.25,20562.18,98.76513261123895,11,April,2025-04-01
2025-04-01 12:00:00,3547.0,1492.75,241.25,11536.5,34498.5,107.5,0,5809.0,2257.75,3244.5,24.0,1692.25,11777.75,51423.5,13003.5,64451.0,79.78696994616065,62051.9,66051.9,4000.0,15775.65,103.866279678785,12,April,2025-04-01
2025-04-01 13:00:00,3531.5,1451.75,231.5,12861.75,34269.5,107.0,0,5774.75,2073.0,3185.5,47.25,1687.0,13093.25,52453.0,12720.25,65220.5,80.42409978457692,61117.77,64921.77,3804.0,13755.02,106.71282672780764,13,April,2025-04-01
2025-04-01 14:00:00,3544.0,1430.75,242.5,13310.5,33251.0,109.0,0,5722.5,2000.5,3131.25,32.25,1648.0,13553.0,51887.75,12502.25,64422.25,80.5432129427333,59344.89,64090.89,4746.0,12540.89,108.55568187926544,14,April,2025-04-01
2025-04-01 15:00:00,3591.75,1425.5,353.25,13859.25,30025.25,111.25,0,5746.0,1961.75,3223.5,108.0,1532.0,14212.5,49366.25,12463.25,61937.5,79.70332996972755,57611.95,62398.2,4786.25,13374.2,107.50807775123043,15,April,2025-04-01
2025-04-01 16:00:00,3739.25,1394.5,523.25,14561.75,24839.75,111.75,0,5996.75,1936.25,3334.75,11.0,1605.75,15085.0,45170.25,12873.5,58054.75,77.80629491988167,56541.84,61214.34,4672.5,16617.09,102.67573534925643,16,April,2025-04-01
2025-04-01 17:00:00,4007.5,1409.25,809.25,15792.0,16678.5,111.5,0,7823.0,2550.25,4386.25,152.25,1709.5,16601.25,38808.0,16469.0,55429.25,70.01357586472847,57235.7,59235.45,1999.75,23955.95,96.84384047019606,17,April,2025-04-01
2025-04-01 18:00:00,4313.25,1424.25,1109.75,15349.25,7098.5,113.25,0,10034.0,3471.75,6150.0,1197.5,1743.25,16459.0,29408.25,21399.0,52004.75,56.54916137468212,59619.09,60120.09,501.0,36061.59,87.22835252936602,18,April,2025-04-01
2025-04-01 19:00:00,4531.25,1426.0,1423.5,15550.0,1022.75,115.25,0,11484.25,4449.75,6488.0,4376.0,1763.0,16973.5,24068.75,24185.0,52629.75,45.73221419444325,60108.11,60135.61,27.5,42111.86,87.5584842045441,19,April,2025-04-01
2025-04-01 20:00:00,4507.75,1453.25,1582.0,18223.0,27.5,116.0,0,11321.5,4819.75,6655.75,4220.75,1783.5,19805.0,25909.5,24580.5,54710.75,47.35723783717094,59789.99,59809.74,19.75,39957.49,91.50486561379255,20,April,2025-04-01
2025-04-01 21:00:00,4313.75,1462.0,1849.5,21564.0,7.25,115.5,0,10611.5,4576.25,6448.25,2007.0,1827.75,23413.5,29312.0,23463.75,54782.75,53.50589373479791,57215.83,57410.08,194.25,33795.08,95.7475404970967,21,April,2025-04-01
2025-04-01 22:00:00,4098.0,1389.75,2216.75,22518.0,7.75,115.75,0,10296.0,3706.25,5810.0,385.25,1891.0,24734.75,30346.0,21703.25,52434.5,57.87410960340998,53173.72,53493.47,319.75,28431.22,98.60980198489028,22,April,2025-04-01
2025-04-01 23:00:00,3879.0,1323.5,2214.5,23019.25,7.0,116.25,0,9270.25,2783.0,4833.5,134.0,1843.0,25233.75,30559.5,18729.75,49423.25,61.83223482874962,48826.14,49772.89,946.75,23585.39,101.22293099556919,23,April,2025-04-01
2025-04-02 00:00:00,3767.75,1363.75,2012.5,22474.5,6.0,117.5,0,7880.5,2598.0,4101.25,34.0,1798.75,24487.0,29742.0,16378.5,46154.5,64.4400870987661,45719.23,47144.48,1425.25,21226.23,100.95205015482544,0,April,2025-04-02
2025-04-02 01:00:00,3713.25,1368.0,1661.25,21344.5,6.25,118.25,0,7182.0,2567.5,4085.75,1.75,1798.5,23005.75,28211.5,15633.75,43847.0,64.34077587976373,43933.26,45786.76,1853.5,20921.26,99.80365672841032,1,April,2025-04-02
2025-04-02 02:00:00,3701.25,1246.0,1630.5,20318.75,6.75,119.5,0,7047.5,2617.0,4035.25,46.5,1793.5,21949.25,27022.75,15493.25,42562.5,63.48957415565345,43296.02,45768.77,2472.75,21340.02,98.30580270426705,2,April,2025-04-02
2025-04-02 03:00:00,3715.5,1288.0,1618.25,19887.0,6.0,119.0,0,7149.0,2810.0,4083.25,14.0,1763.75,21505.25,26633.75,15806.0,42453.75,62.73591849954362,43676.21,45198.21,1522.0,22164.96,97.20108498425115,3,April,2025-04-02
2025-04-02 04:00:00,3820.75,1328.75,1719.75,19364.5,6.0,119.0,0,7340.5,2880.5,4241.75,18.75,1798.75,21084.25,26358.75,16261.5,42639.0,61.81840568493633,44898.06,45547.81,649.75,23807.81,94.9684685708024,4,April,2025-04-02
2025-04-02 05:00:00,3983.0,1341.75,1951.25,18853.0,7.5,118.0,0,9014.75,3181.75,5044.5,897.25,1838.5,20804.25,26254.5,19079.5,46231.25,56.78950926051102,48993.28,49143.28,150.0,28181.53,94.36243092930296,5,April,2025-04-02
