STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1420;2022050800:22;    1;  113.0;    0.0;    0.0;   0;   112.62;2022050801:00;eor
       1420;2022050801:22;    1;  112.0;    0.0;    0.0;   0;   110.06;2022050802:00;eor
       1420;2022050802:22;    1;  111.0;    0.0;    0.0;   0;   105.22;2022050803:00;eor
       1420;2022050803:22;    1;  110.0;    0.0;    0.0;   0;    98.57;2022050804:00;eor
       1420;2022050804:22;    1;  109.0;    3.0;    3.0;   0;    90.58;2022050805:00;eor
       1420;2022050805:22;    1;  109.0;   18.0;   32.0;  42;    81.67;2022050806:00;eor
       1420;2022050806:22;    1;  110.0;   34.0;   86.0;  60;    72.22;2022050807:00;eor
       1420;2022050807:22;    1;  112.0;   49.0;  146.0;  60;    62.59;2022050808:00;eor
       1420;2022050808:22;    1;  113.0;   56.0;  202.0;  60;    53.18;2022050809:00;eor
       1420;2022050809:22;    1;   -999;   -999;   -999;-999;    44.54;2022050810:00;eor
       1420;2022050810:22;    1;   -999;   -999;   -999;-999;    37.53;2022050811:00;eor
       1420;2022050811:22;    1;   -999;   -999;   -999;-999;    33.43;2022050812:00;eor
       1420;2022050812:22;    1;   -999;   63.0;  309.0;  60;    33.42;2022050813:00;eor
       1420;2022050813:22;    1;   -999;   62.0;  281.0;  59;    37.50;2022050814:00;eor
       1420;2022050814:22;    1;   -999;   -999;   -999;-999;    44.49;2022050815:00;eor
       1420;2022050815:22;    1;   -999;   -999;   -999;-999;    53.12;2022050816:00;eor
       1420;2022050816:22;    1;   -999;   -999;   -999;-999;    62.51;2022050817:00;eor
       1420;2022050817:22;    1;   -999;   -999;   -999;-999;    72.12;2022050818:00;eor
       1420;2022050818:22;    1;   -999;   -999;   -999;-999;    81.55;2022050819:00;eor
       1420;2022050819:22;    1;   -999;   -999;   -999;-999;    90.44;2022050820:00;eor
       1420;2022050820:22;    1;  120.0;    0.0;    0.0;   0;    98.41;2022050821:00;eor
       1420;2022050821:22;    1;  119.0;    0.0;    0.0;   0;   105.03;2022050822:00;eor
       1420;2022050822:22;    1;  117.0;    0.0;    0.0;   0;   109.83;2022050823:00;eor
       1420;2022050823:22;    1;  116.0;    0.0;    0.0;   0;   112.36;2022050900:00;eor
       1420;2022051100:22;    1;  125.0;    0.0;    0.0;   0;   111.83;2022051101:00;eor
       1420;2022051101:22;    1;  119.0;    0.0;    0.0;   0;   109.29;2022051102:00;eor
       1420;2022051102:22;    1;  117.0;    0.0;    0.0;   0;   104.50;2022051103:00;eor
       1420;2022051103:22;    1;  119.0;    0.0;    0.0;   0;    97.89;2022051104:00;eor
       1420;2022051104:22;    1;  119.0;    2.0;    2.0;   0;    89.94;2022051105:00;eor
       1420;2022051105:22;    1;  121.0;   20.0;   29.0;  12;    81.06;2022051106:00;eor
       1420;2022051106:22;    1;  121.0;   39.0;   88.0;  60;    71.63;2022051107:00;eor
       1420;2022051107:22;    1;  122.0;   33.0;  154.0;  59;    62.00;2022051108:00;eor
