start,end,Biomass,Hydropower,Wind Offshore,Wind Onshore,Solar,Other Renewable,Nuclear,Lignite,Hard Coal,Fossil Gas,Pumped Storage,Other Conventional,time,temp_C,cloud_pct,wind_10m,wind_100m,solar_total,solar_direct,solar_diffuse,wind_100m_ms
2025-07-01 02:00:00,"Jul 1, 2025 3:00 AM",3696.88,1638.35,2782.5,11524.61,52.53,75.52,0,8013.5,4394.5,7257.0,235.25,1316.5,2025-07-01 02:00:00,20.2,0.0,7.875,16.45,0.0,0.0,0.0,4.569444444444444
2025-07-01 03:00:00,"Jul 1, 2025 4:00 AM",3671.44,1602.46,3181.85,11114.18,52.52,76.48,0,8031.5,3729.25,6966.5,484.75,1391.5,2025-07-01 03:00:00,18.525,13.75,7.825,16.15,0.0,0.0,0.0,4.486111111111111
2025-07-01 04:00:00,"Jul 1, 2025 5:00 AM",3730.06,1506.19,3381.02,10822.79,58.42,77.69,0,8025.25,3633.25,7338.5,429.75,1362.25,2025-07-01 04:00:00,17.925,10.0,8.625,17.9,0.0,0.0,0.0,4.972222222222221
2025-07-01 05:00:00,"Jul 1, 2025 6:00 AM",3846.44,1489.29,3039.67,10242.2,621.99,77.79,0,8491.75,3802.25,7768.0,323.5,1344.25,2025-07-01 05:00:00,17.3,0.0,8.575,17.725,0.0,0.0,0.0,4.923611111111112
2025-07-01 06:00:00,"Jul 1, 2025 7:00 AM",4110.22,1681.75,2790.79,8851.47,3963.46,77.86,0,8717.5,4079.75,7958.0,775.0,1239.5,2025-07-01 06:00:00,17.275,0.25,8.775,17.425,21.5,8.75,12.75,4.840277777777778
2025-07-01 07:00:00,"Jul 1, 2025 8:00 AM",4146.16,1947.98,1915.07,5710.07,11861.5,78.78,0,8821.75,4277.0,8226.0,1010.75,1201.5,2025-07-01 07:00:00,18.325,0.0,7.225,18.0,115.75,69.75,46.0,5.0
2025-07-01 08:00:00,"Jul 1, 2025 9:00 AM",3928.5,1773.16,1398.92,2145.88,23253.22,77.17,0,8778.5,4119.5,7832.5,685.25,1178.25,2025-07-01 08:00:00,20.4,0.25,5.825,11.0,256.75,187.5,69.25,3.0555555555555554
2025-07-01 09:00:00,"Jul 1, 2025 10:00 AM",3668.65,1627.76,990.65,918.24,33664.12,76.17,0,7961.5,3445.0,4708.75,65.75,1195.0,2025-07-01 09:00:00,22.825,0.0,5.6000000000000005,8.1,412.0,327.5,84.5,2.25
2025-07-01 10:00:00,"Jul 1, 2025 11:00 AM",3493.0,1504.62,576.83,685.5,40800.06,77.28,0,7099.25,2576.25,3765.0,48.0,1404.75,2025-07-01 10:00:00,25.325,1.5,5.9,8.2,562.0,467.25,94.75,2.2777777777777777
2025-07-01 11:00:00,"Jul 1, 2025 12:00 PM",3415.13,1490.65,235.89,709.14,45633.79,74.18,0,6467.75,2469.5,3082.0,14.75,1399.25,2025-07-01 11:00:00,27.475,5.25,6.45,8.825,692.5,589.5,103.0,2.451388888888889
2025-07-01 12:00:00,"Jul 1, 2025 1:00 PM",3336.84,1492.6,115.07,608.76,47876.11,72.61,0,6470.75,2298.25,2923.0,33.25,1392.5,2025-07-01 12:00:00,29.3,4.5,6.425000000000001,8.625,784.75,672.75,112.0,2.3958333333333335
2025-07-01 13:00:00,"Jul 1, 2025 2:00 PM",3288.6,1490.14,60.98,563.3,47488.2,69.91,0,6864.75,2209.0,3095.75,59.5,1392.75,2025-07-01 13:00:00,30.725,7.0,6.55,8.65,839.0,720.5,118.5,2.4027777777777777
2025-07-01 14:00:00,"Jul 1, 2025 3:00 PM",3304.27,1613.18,119.65,519.37,45076.18,72.31,0,6960.5,2620.25,3093.5,55.0,1378.25,2025-07-01 14:00:00,31.725,12.25,6.725,8.8,853.0,728.75,124.25,2.4444444444444446
2025-07-01 15:00:00,"Jul 1, 2025 4:00 PM",3298.26,1538.23,99.85,529.59,40895.3,68.1,0,6987.0,2705.0,3145.5,132.75,1272.5,2025-07-01 15:00:00,32.6,25.75,6.875,9.1,761.0,609.75,151.25,2.5277777777777777
2025-07-01 16:00:00,"Jul 1, 2025 5:00 PM",3368.32,1590.08,229.91,602.32,35915.02,61.94,0,7917.75,3001.75,3810.25,114.75,1441.25,2025-07-01 16:00:00,32.7,23.0,7.225,9.625,706.75,563.5,143.25,2.673611111111111
2025-07-01 17:00:00,"Jul 1, 2025 6:00 PM",3515.71,1756.29,490.76,861.31,28157.6,67.72,0,9176.5,3388.25,6090.25,136.0,1546.0,2025-07-01 17:00:00,32.95,13.5,6.225,7.925,596.5,472.25,124.25,2.201388888888889
2025-07-01 18:00:00,"Jul 1, 2025 7:00 PM",3878.14,1775.31,614.19,841.31,18116.96,68.6,0,9788.5,4023.75,8490.25,1669.25,1543.25,2025-07-01 18:00:00,32.9,19.5,7.324999999999999,9.525,496.25,395.5,100.75,2.6458333333333335
2025-07-01 19:00:00,"Jul 1, 2025 8:00 PM",4203.98,2009.68,980.99,1086.53,8257.95,68.27,0,9899.5,4069.75,9852.0,4388.0,1720.75,2025-07-01 19:00:00,32.425,22.75,8.3,10.95,352.5,265.5,87.0,3.0416666666666665
