Hour,Wind_Onshore,Solar,Fossil_Gas,Lignite,Biomass
0,10734.227717391304,17.78782608695652,4911.459239130435,7607.073369565217,3838.3425
1,10595.65858695652,15.72804347826087,4552.597826086957,7374.600543478261,3757.7815217391308
2,10336.789782608696,14.635978260869566,4418.328804347826,7247.315217391304,3710.8221739130436
3,10150.397826086957,14.400978260869566,4377.798913043478,7202.665760869565,3697.0201086956517
4,10059.660217391303,16.25467391304348,4438.342391304348,7316.858695652174,3746.3530434782606
5,10095.901956521739,90.87565217391304,4672.339673913043,7573.0,3886.3757608695655
6,10308.209239130434,1057.4758695652174,5024.929347826087,7780.559782608696,4135.720434782609
7,9712.650652173912,4676.97097826087,5100.600543478261,7679.538043478261,4208.314456521739
8,8594.13956521739,11608.968804347825,4757.040760869565,7369.807065217391,4067.7128260869567
9,7849.736521739131,19565.273152173915,3998.179347826087,6608.008152173913,3840.126630434783
10,7878.861739130435,26255.716956521737,3249.7608695652175,5753.326086956522,3618.4494565217387
11,8361.829347826088,30692.67195652174,2877.5625,5147.505434782609,3501.5742391304348
12,8880.566739130434,32817.98554347826,2667.5353260869565,4761.76902173913,3415.4059782608692
13,9217.331195652174,33058.486739130436,2633.657608695652,4659.070652173913,3390.055652173913
14,9557.105652173912,31734.781304347824,2627.771739130435,4704.241847826087,3389.5607608695655
15,9993.793913043479,28647.916195652175,2732.5978260869565,4927.33152173913,3434.6635869565216
16,10320.708586956522,23558.354891304345,3088.6739130434785,5582.173913043478,3568.055326086957
17,10400.761739130434,16618.172282608695,4115.695652173913,6686.758152173913,3783.1918478260873
18,9820.054673913044,8959.346413043479,5408.021739130435,7818.429347826087,4148.388478260869
19,9275.28847826087,3278.6778260869564,6179.91847826087,8330.578804347826,4406.921847826087
20,9212.319130434782,715.6634782608695,6331.388586956522,8442.45652173913,4488.643913043478
21,9798.428804347826,70.5404347826087,6231.149456521739,8401.763586956522,4415.386739130435
22,10213.036630434783,24.166521739130438,5935.782608695652,8245.820652173914,4233.487608695652
23,10677.133043478261,16.83271739130435,5471.720108695652,7980.410326086957,4026.6622826086955
