duration_h,cost_liion_beur,cost_phs_beur,cost_h2_beur
1,2.2636824000000004,1.1318412000000002,0.8084580000000001
2,4.499403999999998,2.249701999999999,1.6069299999999995
4,8.762521599999998,4.381260799999999,3.1294719999999994
6,12.7474368,6.3737184,4.552656
8,16.2543136,8.1271568,5.805112
12,22.546472199999997,11.273236099999998,8.052311499999998
24,42.2588474,21.1294237,15.0924455
48,71.58032979999999,35.79016489999999,25.564403499999997
72,97.3801668,48.6900834,34.778631
120,155.4856044,77.7428022,55.530573
168,191.5802182,95.7901091,68.4215065
336,325.34129880000006,162.67064940000003,116.19332100000003
720,588.4201442000001,294.21007210000005,210.15005150000002
