date,cumulative_eur
2025-01-01,22.349411764705884
2025-01-02,588.7464705882353
2025-01-03,700.9588235294117
2025-01-04,850.3688235294117
2025-01-05,1091.465882352941
2025-01-06,1185.4923529411763
2025-01-07,1524.9223529411763
2025-01-08,1813.3641176470587
2025-01-09,1983.2341176470588
2025-01-10,2208.716470588235
2025-01-11,2260.9676470588233
2025-01-12,2432.6535294117643
2025-01-13,2683.435882352941
2025-01-14,2888.764117647059
2025-01-15,3731.269411764706
2025-01-16,3936.7458823529414
2025-01-17,4132.690588235294
2025-01-18,4236.832352941176
2025-01-19,4314.061176470588
2025-01-20,5656.780588235294
2025-01-21,6122.404705882353
2025-01-22,6410.925294117646
2025-01-23,6646.974117647058
2025-01-24,6832.462352941176
2025-01-25,7114.771764705882
2025-01-26,7364.629999999999
2025-01-27,7719.581764705881
2025-01-28,7994.68588235294
2025-01-29,8211.18588235294
2025-01-30,8454.72294117647
2025-01-31,8630.454117647058
2025-02-01,8760.814117647058
2025-02-02,8882.431176470587
2025-02-03,9190.829411764706
2025-02-04,9385.202352941176
2025-02-05,9604.391176470588
2025-02-06,9768.798823529412
2025-02-07,9901.832941176472
2025-02-08,10181.925294117647
2025-02-09,10317.109411764706
2025-02-10,10543.049411764707
2025-02-11,10854.160000000002
2025-02-12,11008.544117647061
2025-02-13,11220.22117647059
2025-02-14,11694.875882352942
2025-02-15,11812.145882352943
2025-02-16,11887.574705882354
2025-02-17,12282.727058823531
2025-02-18,12556.444117647061
2025-02-19,12761.196470588236
2025-02-20,12843.051764705884
2025-02-21,13037.84705882353
2025-02-22,13269.798823529412
2025-02-23,13487.669411764706
2025-02-24,13767.681764705882
2025-02-25,14137.47294117647
2025-02-26,14269.604117647057
2025-02-27,14451.847647058821
2025-02-28,14575.570588235292
2025-03-01,14688.572941176468
2025-03-02,15140.269411764702
2025-03-03,15733.474705882349
2025-03-04,16236.567058823524
2025-03-05,16811.424117647053
2025-03-06,17405.824705882347
2025-03-07,17994.17823529411
2025-03-08,18579.65823529411
2025-03-09,19112.585882352934
2025-03-10,19385.244705882345
2025-03-11,19634.932941176463
2025-03-12,19870.57235294117
2025-03-13,20061.768823529404
2025-03-14,20186.24823529411
2025-03-15,20425.831176470583
2025-03-16,20930.961176470584
2025-03-17,21386.187647058818
2025-03-18,22002.388823529407
2025-03-19,22805.434117647055
2025-03-20,23633.67058823529
2025-03-21,24177.971176470586
2025-03-22,24419.20588235294
2025-03-23,24925.75470588235
2025-03-24,25183.390588235292
2025-03-25,25450.820588235292
2025-03-26,25648.804117647058
2025-03-27,26132.77882352941
2025-03-28,26725.734117647058
2025-03-29,27145.90705882353
2025-03-31,27513.955294117648
2025-04-01,28026.640588235296
2025-04-02,28606.88294117647
2025-04-03,29245.49529411765
2025-04-04,29905.08294117647
2025-04-05,30503.4
2025-04-06,31414.461764705884
2025-04-07,31975.706470588237
2025-04-08,32506.865882352944
2025-04-09,33024.852941176476
2025-04-10,33563.30823529412
2025-04-11,34115.032941176476
2025-04-12,34734.49764705883
2025-04-13,35251.82647058824
2025-04-14,35558.001764705885
2025-04-15,36045.33470588236
2025-04-16,36422.54529411765
2025-04-17,36555.00588235294
2025-04-18,36713.657058823526
2025-04-19,37233.211176470584
2025-04-20,37914.16352941176
2025-04-21,38377.723529411756
2025-04-22,38792.06352941175
2025-04-23,38984.228823529396
2025-04-24,39083.37999999998
2025-04-25,39294.481176470574
2025-04-26,39740.235294117636
2025-04-27,40651.13529411764
2025-04-28,41287.68823529411
2025-04-29,41849.61411764705
2025-04-30,42416.74941176469
2025-05-01,43384.88529411764
2025-05-02,43890.905882352934
2025-05-03,44275.257058823525
2025-05-04,44704.51823529411
2025-05-05,44933.13117647058
2025-05-06,45267.67294117647
2025-05-07,45502.10058823529
2025-05-08,45782.41529411764
2025-05-09,46339.74882352941
2025-05-10,47256.01058823529
2025-05-11,48652.07470588235
2025-05-12,49360.25529411764
2025-05-13,50058.729411764696
2025-05-14,50709.89470588234
2025-05-15,51253.33941176469
2025-05-16,51793.018235294105
2025-05-17,52323.814117647045
2025-05-18,52845.48764705881
2025-05-19,53451.692352941165
2025-05-20,54068.08176470587
2025-05-21,54526.2394117647
2025-05-22,55043.12176470587
2025-05-23,55557.63058823528
2025-05-24,55987.844117647044
2025-05-25,56407.56352941175
2025-05-26,57016.63647058822
2025-05-27,57487.17764705881
2025-05-28,57748.86117647057
2025-05-29,58134.33058823528
2025-05-30,58669.14176470587
2025-05-31,59350.51470588234
2025-06-01,59814.14176470587
2025-06-02,60440.24058823528
2025-06-03,60944.405294117634
2025-06-04,61428.24235294116
2025-06-05,61855.85235294116
2025-06-06,62346.69588235293
2025-06-07,62753.558235294106
2025-06-08,63294.04529411763
2025-06-09,63886.51647058822
2025-06-10,64256.89647058822
2025-06-11,64913.904705882334
2025-06-12,65479.42235294116
2025-06-13,65903.85941176469
2025-06-14,66519.45529411762
2025-06-15,67022.37588235292
2025-06-16,67649.1576470588
2025-06-17,68416.70176470587
2025-06-18,68989.22470588234
2025-06-19,69779.63999999998
2025-06-20,70433.04588235292
2025-06-21,71111.61294117644
2025-06-22,71943.73999999998
2025-06-23,72450.8076470588
2025-06-24,72980.29823529409
2025-06-25,73735.9164705882
2025-06-26,73943.66941176467
2025-06-27,74353.53294117644
2025-06-28,74818.0876470588
2025-06-29,75340.43117647056
2025-06-30,76089.9970588235
2025-07-01,77278.25352941174
2025-07-02,77801.53235294115
2025-07-03,78202.37470588234
2025-07-04,78739.4982352941
2025-07-05,79208.73588235292
2025-07-06,79640.8188235294
2025-07-07,79935.67470588234
2025-07-08,80156.35941176469
